CONTENT,CLASS
89,1
87,1
85,1
83,1
81,1
79,1
77,1
76,1
75,1
74,1
73,1
72,1
72,1
72,1
72,1
72,1
73,1
74,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
82,1
83,1
83,1
84,1
84,1
84,1
85,1
85,1
85,1
84,1
84,1
84,1
84,1
84,1
84,1
83,1
83,1
83,1
83,1
82,1
82,1
82,1
82,1
82,1
82,1
84,1
86,1
90,1
95,1
101,0
107,0
113,0
119,0
125,0
129,0
132,0
133,0
133,0
131,0
128,0
124,0
119,0
113,0
107,0
101,0
95,1
90,1
84,1
79,1
75,1
72,1
69,1
67,1
66,1
65,1
65,1
65,1
65,1
66,1
67,1
69,1
71,1
74,1
76,1
79,1
82,1
85,1
88,1
90,1
92,1
93,1
94,1
95,1
95,1
94,1
93,1
92,1
90,1
89,1
87,1
85,1
83,1
81,1
80,1
78,1
77,1
75,1
74,1
73,1
73,1
72,1
72,1
72,1
72,1
73,1
73,1
74,1
75,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
82,1
83,1
83,1
84,1
84,1
84,1
84,1
85,1
84,1
84,1
84,1
84,1
84,1
83,1
83,1
83,1
82,1
82,1
82,1
82,1
82,1
83,1
85,1
89,1
94,1
99,1
105,0
112,0
118,0
123,0
127,0
129,0
131,0
131,0
129,0
126,0
122,0
117,0
112,0
106,0
100,1
94,1
88,1
83,1
79,1
75,1
71,1
69,1
67,1
65,1
65,1
64,1
64,1
65,1
66,1
67,1
68,1
70,1
73,1
75,1
79,1
82,1
84,1
87,1
90,1
92,1
94,1
95,1
96,1
96,1
95,1
94,1
93,1
91,1
89,1
87,1
85,1
83,1
81,1
80,1
78,1
76,1
75,1
74,1
73,1
73,1
72,1
72,1
72,1
72,1
72,1
73,1
74,1
75,1
76,1
77,1
77,1
78,1
79,1
80,1
81,1
82,1
82,1
83,1
83,1
84,1
84,1
84,1
84,1
85,1
84,1
84,1
84,1
84,1
84,1
83,1
83,1
83,1
83,1
84,1
86,1
89,1
93,1
98,1
103,0
109,0
114,0
120,0
124,0
126,0
128,0
128,0
127,0
125,0
122,0
118,0
113,0
107,0
102,0
96,1
90,1
85,1
80,1
76,1
73,1
70,1
68,1
66,1
65,1
64,1
63,1
63,1
64,1
65,1
67,1
69,1
72,1
75,1
78,1
81,1
84,1
87,1
90,1
92,1
94,1
95,1
96,1
96,1
96,1
95,1
94,1
92,1
90,1
88,1
85,1
83,1
81,1
79,1
78,1
76,1
75,1
73,1
73,1
72,1
72,1
72,1
72,1
72,1
73,1
73,1
74,1
75,1
75,1
76,1
77,1
78,1
79,1
81,1
81,1
82,1
83,1
84,1
84,1
85,1
85,1
85,1
85,1
85,1
85,1
85,1
85,1
84,1
84,1
83,1
83,1
84,1
85,1
87,1
91,1
95,1
101,0
107,0
114,0
119,0
125,0
128,0
131,0
133,0
133,0
131,0
128,0
124,0
120,0
114,0
108,0
103,0
97,1
91,1
86,1
81,1
77,1
74,1
71,1
69,1
68,1
67,1
66,1
66,1
67,1
67,1
